Array size: 10000, Buckets: 1250, Threads: 1, Total time: 0.001365, Random time: 0.000139, Bucket time: 0.000340, Sort time: 0.000495, Merge time: 0.000083
Array size: 10000, Buckets: 1250, Threads: 1, Total time: 0.001353, Random time: 0.000143, Bucket time: 0.000355, Sort time: 0.000466, Merge time: 0.000083
Array size: 10000, Buckets: 1250, Threads: 1, Total time: 0.001386, Random time: 0.000140, Bucket time: 0.000364, Sort time: 0.000477, Merge time: 0.000082
Array size: 10000, Buckets: 1250, Threads: 1, Total time: 0.001356, Random time: 0.000140, Bucket time: 0.000333, Sort time: 0.000483, Merge time: 0.000083
Array size: 10000, Buckets: 1250, Threads: 1, Total time: 0.001371, Random time: 0.000156, Bucket time: 0.000341, Sort time: 0.000477, Merge time: 0.000083
Array size: 10000, Buckets: 1250, Threads: 1, Total time: 0.001409, Random time: 0.000140, Bucket time: 0.000340, Sort time: 0.000484, Merge time: 0.000083
Array size: 10000, Buckets: 1250, Threads: 1, Total time: 0.001362, Random time: 0.000138, Bucket time: 0.000344, Sort time: 0.000489, Merge time: 0.000083
Array size: 10000, Buckets: 1250, Threads: 1, Total time: 0.001373, Random time: 0.000139, Bucket time: 0.000353, Sort time: 0.000488, Merge time: 0.000083
Array size: 10000, Buckets: 1250, Threads: 1, Total time: 0.001349, Random time: 0.000138, Bucket time: 0.000328, Sort time: 0.000467, Merge time: 0.000095
Array size: 10000, Buckets: 1250, Threads: 1, Total time: 0.001386, Random time: 0.000139, Bucket time: 0.000339, Sort time: 0.000504, Merge time: 0.000083
Array size: 10000, Buckets: 1250, Threads: 1, Total time: 0.001363, Random time: 0.000154, Bucket time: 0.000330, Sort time: 0.000477, Merge time: 0.000082
Array size: 10000, Buckets: 1250, Threads: 1, Total time: 0.001378, Random time: 0.000138, Bucket time: 0.000337, Sort time: 0.000486, Merge time: 0.000084
Array size: 10000, Buckets: 1250, Threads: 1, Total time: 0.001383, Random time: 0.000139, Bucket time: 0.000365, Sort time: 0.000473, Merge time: 0.000082
Array size: 10000, Buckets: 1250, Threads: 1, Total time: 0.001354, Random time: 0.000140, Bucket time: 0.000352, Sort time: 0.000468, Merge time: 0.000083
Array size: 10000, Buckets: 1250, Threads: 1, Total time: 0.001366, Random time: 0.000140, Bucket time: 0.000361, Sort time: 0.000465, Merge time: 0.000083
Array size: 10000, Buckets: 1250, Threads: 1, Total time: 0.001381, Random time: 0.000160, Bucket time: 0.000339, Sort time: 0.000485, Merge time: 0.000083
Array size: 10000, Buckets: 1250, Threads: 1, Total time: 0.001376, Random time: 0.000139, Bucket time: 0.000339, Sort time: 0.000468, Merge time: 0.000106
Array size: 10000, Buckets: 1250, Threads: 1, Total time: 0.001377, Random time: 0.000139, Bucket time: 0.000339, Sort time: 0.000502, Merge time: 0.000083
Array size: 10000, Buckets: 1250, Threads: 1, Total time: 0.001350, Random time: 0.000139, Bucket time: 0.000354, Sort time: 0.000463, Merge time: 0.000082
Array size: 10000, Buckets: 1250, Threads: 1, Total time: 0.001477, Random time: 0.000144, Bucket time: 0.000359, Sort time: 0.000474, Merge time: 0.000082
Array size: 10000, Buckets: 1250, Threads: 1, Total time: 0.001422, Random time: 0.000139, Bucket time: 0.000343, Sort time: 0.000501, Merge time: 0.000103
Array size: 10000, Buckets: 1250, Threads: 1, Total time: 0.001375, Random time: 0.000140, Bucket time: 0.000357, Sort time: 0.000480, Merge time: 0.000083
Array size: 10000, Buckets: 1250, Threads: 1, Total time: 0.001401, Random time: 0.000140, Bucket time: 0.000341, Sort time: 0.000470, Merge time: 0.000112
Array size: 10000, Buckets: 1250, Threads: 1, Total time: 0.001382, Random time: 0.000156, Bucket time: 0.000345, Sort time: 0.000479, Merge time: 0.000083
Array size: 10000, Buckets: 1250, Threads: 1, Total time: 0.001377, Random time: 0.000142, Bucket time: 0.000360, Sort time: 0.000470, Merge time: 0.000083
Array size: 10000, Buckets: 1250, Threads: 1, Total time: 0.001396, Random time: 0.000169, Bucket time: 0.000341, Sort time: 0.000482, Merge time: 0.000083
Array size: 10000, Buckets: 1250, Threads: 1, Total time: 0.001422, Random time: 0.000160, Bucket time: 0.000343, Sort time: 0.000509, Merge time: 0.000083
Array size: 10000, Buckets: 1250, Threads: 1, Total time: 0.001380, Random time: 0.000140, Bucket time: 0.000343, Sort time: 0.000480, Merge time: 0.000083
Array size: 10000, Buckets: 1250, Threads: 1, Total time: 0.001373, Random time: 0.000142, Bucket time: 0.000358, Sort time: 0.000466, Merge time: 0.000083
Array size: 10000, Buckets: 1250, Threads: 1, Total time: 0.001369, Random time: 0.000138, Bucket time: 0.000359, Sort time: 0.000467, Merge time: 0.000083
Array size: 10000, Buckets: 1250, Threads: 1, Total time: 0.001390, Random time: 0.000140, Bucket time: 0.000329, Sort time: 0.000498, Merge time: 0.000084
Array size: 10000, Buckets: 1250, Threads: 1, Total time: 0.001400, Random time: 0.000169, Bucket time: 0.000346, Sort time: 0.000483, Merge time: 0.000083
Array size: 10000, Buckets: 1250, Threads: 1, Total time: 0.001356, Random time: 0.000140, Bucket time: 0.000346, Sort time: 0.000469, Merge time: 0.000083
Array size: 10000, Buckets: 1250, Threads: 1, Total time: 0.001368, Random time: 0.000140, Bucket time: 0.000359, Sort time: 0.000467, Merge time: 0.000083
Array size: 10000, Buckets: 1250, Threads: 1, Total time: 0.001366, Random time: 0.000139, Bucket time: 0.000363, Sort time: 0.000468, Merge time: 0.000083
Array size: 10000, Buckets: 1250, Threads: 1, Total time: 0.001367, Random time: 0.000141, Bucket time: 0.000360, Sort time: 0.000466, Merge time: 0.000083
